term,tfidf_sum
ai,10.527700015676428
chatgpt,3.507715485541486
better,2.9502850296599337
code,2.8245582603425228
like,2.6191387416816907
need,2.139715640061345
genai,1.994180794267129
bro,1.9524218755822549
bot,1.931656981420164
people,1.7147520833100454
feel,1.6801372636659582
job,1.6801372636659582
feel like,1.6801372636659582
gemini,1.6283090511645164
auto,1.5936383503980938
helped,1.573370441392475
policy,1.5649373449717014
really,1.4120922129657825
away,1.3557079555133995
using,1.3534262615182493
ai bot,1.3313229315864137
prompt,1.294705562710733
feels,1.2255612361344927
low,1.1239170714508713
low key,1.1239170714508713
