word,count
better,8
feel,6
job,6
might,6
everything,5
code,5
bot,5
loose,4
technology,4
sometimes,4
helped,4
need,4
know,3
continue,3
path,3
replacing,3
policy,3
now,3
prompt,3
away,3
outline,3
client,3
memo,3
5,3
mins,3
tag,3
messages,3
related,3
automatically,3
time,2
people,2
wrong,2
drafts,2
proposal,2
boilerplates,2
one,2
feels,2
bots,2
low,2
key,2
artificial,2
intelligence,2
auto,2
using,2
claude,2
coding,2
clear,2
assisted,2
way,2
writing,2
good,2
daalo,1
mongo,1
automation,1
thingy,1
making,1
tough,1
hey,1
increasing,1
amount,1
modernisation,1
done,1
days,1
frikkin,1
hell,1
will,1
gone,1
within,1
given,1
rapidly,1
tech,1
advancing,1
used,1
last,1
assignment,1
dude,1
much,1
think,1
cursor,1
coder,1
real,1
crappy,1
great,1
hreat,1
fence,1
give,1
answers,1
difficult,1
old,1
budget,1
python,1
upskilling,1
perplexity,1
clutch,1
citations,1
rag,1
search,1
found,1
exact,1
seconds,1
