word,count
better,8
feel,5
job,5
might,4
loose,4
technology,4
everything,4
know,3
continue,3
path,3
replacing,3
sometimes,3
feels,2
bots,2
artificial,2
intelligence,2
auto,2
claude,2
coding,2
code,2
need,2
clear,2
policy,2
assisted,2
way,2
good,2
automation,1
thingy,1
making,1
tough,1
hey,1
increasing,1
amount,1
modernisation,1
done,1
days,1
dude,1
much,1
think,1
cursor,1
coder,1
real,1
people,1
great,1
80,1
now,1
taking,1
prompt,1
engineering,1
course,1
weekend,1
summarizing,1
bot,1
transcripts,1
lifesaver,1
copilot,1
completed,1
boilerplate,1
perfectly,1
safer,1
customer,1
emails,1
long,1
research,1
saved,1
fr,1
assignments,1
cleaned,1
merchant,1
strings,1
rules,1
human,1
creativity,1
writing,1
drafts,1
nothing,1
hope,1
take,1
away,1
jobs,1
bad,1
